x (m)	y (m)	yn (m)	yc (m)	z (m)
370.0000	371.6542	1.2000	0.9000	0.3700
371.0000	372.6542	1.2000	0.9000	0.3710
372.0000	373.6542	1.2000	0.9000	0.3720
373.0000	374.6542	1.2000	0.9000	0.3730
374.0000	375.6542	1.2000	0.9000	0.3740
375.0000	376.6542	1.2000	0.9000	0.3750
376.0000	377.6542	1.2000	0.9000	0.3760
377.0000	378.6542	1.2000	0.9000	0.3770
378.0000	379.6542	1.2000	0.9000	0.3780
379.0000	380.6542	1.2000	0.9000	0.3790
380.0000	381.6542	1.2000	0.9000	0.3800
381.0000	382.6542	1.2000	0.9000	0.3810
382.0000	383.6542	1.2000	0.9000	0.3820
383.0000	384.6542	1.2000	0.9000	0.3830
384.0000	385.6542	1.2000	0.9000	0.3840
385.0000	386.6542	1.2000	0.9000	0.3850
386.0000	387.6542	1.2000	0.9000	0.3860
387.0000	388.6542	1.2000	0.9000	0.3870
388.0000	389.6542	1.2000	0.9000	0.3880
389.0000	390.6542	1.2000	0.9000	0.3890
390.0000	391.6542	1.2000	0.9000	0.3900
391.0000	392.6542	1.2000	0.9000	0.3910
392.0000	393.6542	1.2000	0.9000	0.3920
393.0000	394.6542	1.2000	0.9000	0.3930
394.0000	395.6542	1.2000	0.9000	0.3940
395.0000	396.6542	1.2000	0.9000	0.3950
396.0000	397.6542	1.2000	0.9000	0.3960
397.0000	398.6542	1.2000	0.9000	0.3970
398.0000	399.6542	1.2000	0.9000	0.3980
399.0000	400.6542	1.2000	0.9000	0.3990
400.0000	401.6542	1.2000	0.9000	0.4000
401.0000	402.6542	1.2000	0.9000	0.4010
402.0000	403.6542	1.2000	0.9000	0.4020
403.0000	404.6542	1.2000	0.9000	0.4030
404.0000	405.6542	1.2000	0.9000	0.4040
405.0000	406.6542	1.2000	0.9000	0.4050
406.0000	407.6542	1.2000	0.9000	0.4060
407.0000	408.6542	1.2000	0.9000	0.4070
408.0000	409.6542	1.2000	0.9000	0.4080
409.0000	410.6542	1.2000	0.9000	0.4090
410.0000	411.6542	1.2000	0.9000	0.4100
411.0000	412.6542	1.2000	0.9000	0.4110
412.0000	413.6542	1.2000	0.9000	0.4120
413.0000	414.6542	1.2000	0.9000	0.4130
414.0000	415.6542	1.2000	0.9000	0.4140
415.0000	416.6542	1.2000	0.9000	0.4150
416.0000	417.6542	1.2000	0.9000	0.4160
417.0000	418.6542	1.2000	0.9000	0.4170
418.0000	419.6542	1.2000	0.9000	0.4180
419.0000	420.6542	1.2000	0.9000	0.4190
420.0000	421.6542	1.2000	0.9000	0.4200
421.0000	422.6542	1.2000	0.9000	0.4210
422.0000	423.6542	1.2000	0.9000	0.4220
423.0000	424.6542	1.2000	0.9000	0.4230
424.0000	425.6542	1.2000	0.9000	0.4240
425.0000	426.6542	1.2000	0.9000	0.4250
426.0000	427.6542	1.2000	0.9000	0.4260
427.0000	428.6542	1.2000	0.9000	0.4270
428.0000	429.6542	1.2000	0.9000	0.4280
429.0000	430.6542	1.2000	0.9000	0.4290
430.0000	431.6542	1.2000	0.9000	0.4300
431.0000	432.6542	1.2000	0.9000	0.4310
432.0000	433.6542	1.2000	0.9000	0.4320
433.0000	434.6542	1.2000	0.9000	0.4330
434.0000	435.6542	1.2000	0.9000	0.4340
435.0000	436.6542	1.2000	0.9000	0.4350
436.0000	437.6542	1.2000	0.9000	0.4360
437.0000	438.6542	1.2000	0.9000	0.4370
438.0000	439.6542	1.2000	0.9000	0.4380
439.0000	440.6542	1.2000	0.9000	0.4390
440.0000	441.6542	1.2000	0.9000	0.4400
441.0000	442.6542	1.2000	0.9000	0.4410
442.0000	443.6542	1.2000	0.9000	0.4420
443.0000	444.6542	1.2000	0.9000	0.4430
444.0000	445.6542	1.2000	0.9000	0.4440
445.0000	446.6542	1.2000	0.9000	0.4450
446.0000	447.6542	1.2000	0.9000	0.4460
447.0000	448.6542	1.2000	0.9000	0.4470
448.0000	449.6542	1.2000	0.9000	0.4480
449.0000	450.6542	1.2000	0.9000	0.4490
450.0000	451.6542	1.2000	0.9000	0.4500
451.0000	452.6542	1.2000	0.9000	0.4510
452.0000	453.6542	1.2000	0.9000	0.4520
453.0000	454.6542	1.2000	0.9000	0.4530
454.0000	455.6542	1.2000	0.9000	0.4540
455.0000	456.6542	1.2000	0.9000	0.4550
456.0000	457.6542	1.2000	0.9000	0.4560
457.0000	458.6542	1.2000	0.9000	0.4570
458.0000	459.6542	1.2000	0.9000	0.4580
459.0000	460.6542	1.2000	0.9000	0.4590
460.0000	461.6542	1.2000	0.9000	0.4600
461.0000	462.6542	1.2000	0.9000	0.4610
462.0000	463.6542	1.2000	0.9000	0.4620
463.0000	464.6542	1.2000	0.9000	0.4630
464.0000	465.6542	1.2000	0.9000	0.4640
465.0000	466.6542	1.2000	0.9000	0.4650
466.0000	467.6542	1.2000	0.9000	0.4660
467.0000	468.6542	1.2000	0.9000	0.4670
468.0000	469.6542	1.2000	0.9000	0.4680
469.0000	470.6542	1.2000	0.9000	0.4690
470.0000	471.6542	1.2000	0.9000	0.4700
471.0000	472.6542	1.2000	0.9000	0.4710
472.0000	473.6542	1.2000	0.9000	0.4720
473.0000	474.6542	1.2000	0.9000	0.4730
474.0000	475.6542	1.2000	0.9000	0.4740
475.0000	476.6542	1.2000	0.9000	0.4750
476.0000	477.6542	1.2000	0.9000	0.4760
477.0000	478.6542	1.2000	0.9000	0.4770
478.0000	479.6542	1.2000	0.9000	0.4780
479.0000	480.6542	1.2000	0.9000	0.4790
